zip,Under 5 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female,Male,Total
10038,228.0,229.0,668.0,155.0,167.0,640.0,1586.0,1290.0,813.0,637.0,491.0,336.0,398.0,466.0,293.0,174.0,184.0,265.0,337.0,238.0,187.0,172.0,11440.0,10024.0,21464.0,361.0
10039,1083.0,388.0,418.0,163.0,178.0,802.0,1252.0,899.0,1120.0,914.0,893.0,838.0,730.0,483.0,286.0,207.0,9.0,219.0,474.0,183.0,103.0,203.0,14542.0,12155.0,26697.0,819.0
10040,944.0,654.0,386.0,425.0,437.0,1034.0,2226.0,1896.0,1436.0,1150.0,1929.0,806.0,1592.0,916.0,365.0,1136.0,234.0,391.0,1025.0,362.0,260.0,331.0,23786.0,20592.0,44378.0,954.0
10044,160.0,62.0,0.0,0.0,60.0,373.0,624.0,678.0,574.0,415.0,396.0,86.0,346.0,344.0,294.0,229.0,132.0,62.0,335.0,186.0,164.0,95.0,6177.0,5606.0,11783.0,272.0
10065,507.0,206.0,59.0,55.0,60.0,603.0,2117.0,1573.0,1795.0,920.0,996.0,384.0,1059.0,605.0,352.0,258.0,555.0,685.0,572.0,443.0,482.0,272.0,16953.0,13284.0,30237.0,1159.0
10069,96.0,24.0,0.0,0.0,0.0,40.0,435.0,405.0,451.0,208.0,100.0,222.0,149.0,257.0,0.0,16.0,19.0,39.0,97.0,46.0,0.0,0.0,2896.0,2630.0,5526.0,212.0
10075,426.0,153.0,139.0,44.0,0.0,200.0,1679.0,773.0,1052.0,466.0,542.0,507.0,728.0,882.0,545.0,493.0,544.0,534.0,819.0,347.0,174.0,359.0,15049.0,10707.0,25756.0,519.0
10103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10128,1100.0,580.0,313.0,134.0,51.0,1085.0,4772.0,2526.0,2298.0,2308.0,2173.0,1744.0,1744.0,1505.0,818.0,665.0,632.0,1199.0,1399.0,763.0,686.0,570.0,35155.0,26772.0,61927.0,1712.0
10152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,41.0,91.0,0.0,36.0,125.0,75.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,592.0,697.0,1289.0,179.0
