zip,Under 5 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female,Male,Total
11096,229.0,317.0,123.0,59.0,51.0,143.0,360.0,330.0,334.0,266.0,258.0,360.0,157.0,236.0,86.0,54.0,78.0,106.0,108.0,65.0,73.0,32.0,4295.0,4036.0,8331.0,323.0
11101,669.0,214.0,258.0,201.0,216.0,745.0,1506.0,1539.0,1178.0,1291.0,1022.0,616.0,878.0,585.0,433.0,405.0,174.0,305.0,363.0,249.0,113.0,83.0,12758.0,13122.0,25880.0,442.0
11102,710.0,505.0,395.0,192.0,375.0,903.0,2668.0,2540.0,1591.0,1358.0,998.0,749.0,1231.0,819.0,248.0,314.0,244.0,354.0,549.0,238.0,175.0,171.0,17606.0,17665.0,35271.0,660.0
11103,798.0,333.0,327.0,155.0,267.0,853.0,3055.0,2570.0,1606.0,1366.0,1083.0,438.0,1359.0,1082.0,187.0,429.0,340.0,384.0,574.0,386.0,237.0,189.0,19437.0,19794.0,39231.0,913.0
11104,550.0,413.0,135.0,39.0,71.0,330.0,1421.0,1361.0,1239.0,1526.0,925.0,742.0,871.0,611.0,371.0,461.0,248.0,346.0,425.0,388.0,236.0,55.0,13732.0,12986.0,26718.0,1041.0
11105,766.0,498.0,132.0,49.0,219.0,903.0,2465.0,2436.0,1506.0,1161.0,1264.0,674.0,1013.0,1028.0,412.0,503.0,255.0,359.0,473.0,369.0,248.0,190.0,18600.0,18594.0,37194.0,747.0
11106,839.0,416.0,294.0,261.0,149.0,1033.0,2810.0,2185.0,1914.0,1703.0,1259.0,721.0,920.0,806.0,414.0,368.0,243.0,479.0,771.0,369.0,303.0,172.0,19757.0,19055.0,38812.0,851.0
11109,0.0,15.0,22.0,0.0,0.0,93.0,511.0,646.0,238.0,201.0,136.0,42.0,64.0,27.0,15.0,32.0,14.0,12.0,0.0,39.0,0.0,14.0,2278.0,2424.0,4702.0,211.0
11201,718.0,369.0,852.0,414.0,450.0,1091.0,3385.0,4327.0,2813.0,2363.0,1613.0,945.0,1550.0,1332.0,580.0,748.0,304.0,673.0,966.0,416.0,343.0,323.0,29553.0,28797.0,58350.0,2062.0
11203,1982.0,1483.0,963.0,483.0,499.0,1413.0,2976.0,2286.0,2660.0,2164.0,2902.0,1865.0,2419.0,1938.0,1242.0,1235.0,624.0,1421.0,1775.0,852.0,532.0,409.0,42493.0,33394.0,75887.0,2452.0
11204,2909.0,1805.0,666.0,662.0,580.0,1577.0,3022.0,2707.0,2501.0,2401.0,2200.0,2989.0,2296.0,2459.0,961.0,1460.0,793.0,844.0,1162.0,815.0,581.0,654.0,40785.0,39701.0,80486.0,3274.0
11205,1467.0,638.0,842.0,749.0,470.0,1052.0,2301.0,1842.0,1932.0,1317.0,1115.0,1676.0,891.0,630.0,398.0,278.0,149.0,382.0,440.0,199.0,147.0,45.0,23083.0,20141.0,43224.0,1859.0
11206,3516.0,2127.0,974.0,594.0,560.0,2663.0,5098.0,3508.0,2659.0,2125.0,2572.0,3156.0,1739.0,1512.0,887.0,487.0,474.0,1084.0,1216.0,520.0,288.0,243.0,43582.0,41224.0,84806.0,3040.0
11207,3560.0,2264.0,1425.0,967.0,730.0,2324.0,4302.0,2550.0,3156.0,2422.0,3808.0,3557.0,2530.0,2713.0,1014.0,1025.0,558.0,1026.0,1358.0,626.0,362.0,328.0,52213.0,42444.0,94657.0,3849.0
11208,3316.0,2346.0,1512.0,943.0,730.0,2325.0,4185.0,2856.0,3408.0,2960.0,3514.0,3957.0,3021.0,2265.0,987.0,1127.0,633.0,768.0,1386.0,335.0,254.0,249.0,50238.0,43609.0,93847.0,3662.0
11209,1378.0,1066.0,653.0,206.0,386.0,1076.0,2927.0,2792.0,2966.0,2529.0,2659.0,1893.0,2556.0,2510.0,892.0,1140.0,618.0,1146.0,1496.0,702.0,579.0,412.0,37322.0,33481.0,70803.0,2284.0
11210,2365.0,1754.0,1146.0,800.0,426.0,1166.0,2402.0,1779.0,2344.0,2357.0,2736.0,2336.0,2365.0,1729.0,1038.0,805.0,479.0,626.0,963.0,556.0,340.0,244.0,36679.0,30753.0,67432.0,2122.0
11211,2573.0,1597.0,942.0,581.0,577.0,2519.0,7600.0,6444.0,3926.0,2948.0,1869.0,2996.0,2160.0,1739.0,803.0,834.0,688.0,776.0,730.0,464.0,333.0,575.0,48885.0,48887.0,97772.0,4656.0
11212,3337.0,1984.0,1590.0,783.0,732.0,1936.0,4407.0,2439.0,3635.0,1959.0,3732.0,2523.0,1846.0,1707.0,1198.0,981.0,606.0,1534.0,1212.0,719.0,266.0,319.0,51218.0,37450.0,88668.0,3472.0
11213,1839.0,1364.0,916.0,580.0,521.0,1402.0,2612.0,2321.0,2277.0,1816.0,2020.0,2066.0,1757.0,1393.0,793.0,610.0,275.0,741.0,983.0,400.0,371.0,301.0,35232.0,29371.0,64603.0,2275.0
11214,2720.0,1578.0,800.0,520.0,494.0,1664.0,3591.0,3793.0,3238.0,3403.0,3113.0,2098.0,3184.0,2950.0,1267.0,1685.0,913.0,1232.0,1700.0,1194.0,683.0,785.0,46337.0,44958.0,91295.0,2798.0
11215,1436.0,765.0,312.0,191.0,212.0,1350.0,4816.0,4571.0,3941.0,3080.0,2171.0,1874.0,1689.0,1849.0,863.0,940.0,480.0,674.0,643.0,501.0,231.0,171.0,36264.0,34554.0,70818.0,2543.0
11216,1101.0,717.0,427.0,406.0,284.0,1406.0,3757.0,2475.0,2040.0,2001.0,1700.0,825.0,1534.0,1420.0,656.0,677.0,320.0,404.0,826.0,306.0,304.0,279.0,28295.0,25452.0,53747.0,1268.0
11217,718.0,449.0,201.0,192.0,127.0,668.0,2676.0,2485.0,2140.0,1567.0,1455.0,802.0,908.0,789.0,446.0,364.0,468.0,399.0,546.0,224.0,153.0,126.0,20442.0,18069.0,38511.0,1211.0
11218,2727.0,1411.0,694.0,421.0,354.0,1880.0,3212.0,3313.0,2975.0,2482.0,2317.0,3397.0,2115.0,1900.0,866.0,1101.0,458.0,852.0,1065.0,493.0,413.0,361.0,38413.0,37278.0,75691.0,3237.0
11219,4171.0,2499.0,980.0,585.0,668.0,2710.0,4112.0,3556.0,2849.0,2707.0,2017.0,4412.0,2512.0,2394.0,1042.0,1310.0,742.0,825.0,839.0,555.0,644.0,799.0,47647.0,50023.0,97670.0,5668.0
11220,3594.0,1525.0,1492.0,585.0,920.0,2271.0,5248.0,4641.0,3881.0,3657.0,3503.0,3201.0,3181.0,2444.0,920.0,989.0,556.0,832.0,1114.0,777.0,647.0,404.0,49951.0,52374.0,102325.0,3929.0
11221,2607.0,1533.0,1091.0,917.0,740.0,2262.0,4456.0,3488.0,3563.0,2715.0,3058.0,2208.0,2334.0,2107.0,765.0,759.0,669.0,842.0,1018.0,503.0,301.0,339.0,43838.0,39534.0,83372.0,2924.0
11222,468.0,179.0,180.0,191.0,191.0,576.0,3540.0,3178.0,1721.0,1354.0,895.0,491.0,1119.0,983.0,311.0,517.0,323.0,276.0,377.0,187.0,118.0,88.0,18162.0,17001.0,35163.0,930.0
11223,2074.0,1738.0,1028.0,506.0,420.0,1626.0,3658.0,2780.0,2239.0,2264.0,2844.0,2461.0,2565.0,2400.0,1010.0,1181.0,804.0,1067.0,1523.0,1131.0,737.0,706.0,41583.0,37802.0,79385.0,3288.0
11224,995.0,680.0,414.0,329.0,262.0,914.0,1093.0,729.0,1325.0,1022.0,1408.0,1217.0,1180.0,1290.0,919.0,784.0,516.0,688.0,1327.0,837.0,387.0,607.0,24183.0,18818.0,43001.0,1326.0
11225,1720.0,932.0,496.0,519.0,384.0,1790.0,3320.0,2720.0,2140.0,1575.0,1854.0,1410.0,1599.0,1577.0,816.0,957.0,394.0,977.0,1040.0,500.0,282.0,227.0,32768.0,27412.0,60180.0,2378.0
11226,3261.0,1810.0,923.0,729.0,704.0,2153.0,4910.0,3758.0,3853.0,2706.0,3474.0,3152.0,2649.0,2251.0,1439.0,1421.0,882.0,1293.0,1555.0,616.0,501.0,389.0,54496.0,44530.0,99026.0,3165.0
11228,1358.0,908.0,617.0,214.0,337.0,825.0,1593.0,2132.0,1600.0,1674.0,1825.0,1311.0,1516.0,1342.0,573.0,819.0,414.0,578.0,774.0,560.0,451.0,388.0,24282.0,22908.0,47190.0,1703.0
11229,2397.0,1338.0,653.0,332.0,561.0,1652.0,2717.0,2792.0,2751.0,2257.0,2921.0,2508.0,2829.0,2857.0,967.0,1639.0,877.0,1099.0,1654.0,1033.0,731.0,807.0,42729.0,39003.0,81732.0,2601.0
11230,2707.0,1746.0,991.0,647.0,751.0,1834.0,3411.0,2545.0,2751.0,2323.0,2249.0,3085.0,2655.0,2493.0,1227.0,1422.0,887.0,1095.0,1300.0,929.0,697.0,844.0,45799.0,42790.0,88589.0,3644.0
11231,724.0,392.0,210.0,189.0,49.0,380.0,1437.0,2249.0,1863.0,1517.0,1372.0,1128.0,985.0,1132.0,519.0,480.0,211.0,193.0,623.0,304.0,161.0,125.0,18644.0,16619.0,35263.0,1286.0
11232,816.0,486.0,410.0,189.0,170.0,808.0,1373.0,1951.0,1211.0,1125.0,993.0,1091.0,1138.0,533.0,268.0,395.0,220.0,172.0,345.0,194.0,124.0,14.0,13577.0,15639.0,29216.0,953.0
11233,2467.0,1451.0,819.0,653.0,668.0,1760.0,3569.0,2529.0,3097.0,1925.0,2476.0,2594.0,2149.0,1545.0,673.0,689.0,394.0,864.0,1224.0,444.0,189.0,160.0,39892.0,31697.0,71589.0,3134.0
11234,3182.0,1831.0,1003.0,777.0,551.0,2012.0,3094.0,3167.0,2900.0,2424.0,3645.0,2864.0,3147.0,3436.0,1428.0,1615.0,1080.0,1255.0,1999.0,870.0,721.0,733.0,50891.0,45021.0,95912.0,2685.0
11235,1937.0,984.0,506.0,265.0,497.0,1148.0,2279.0,2470.0,2712.0,2330.0,2657.0,1968.0,2391.0,2567.0,1081.0,1487.0,1074.0,1525.0,1641.0,1128.0,1053.0,983.0,40421.0,36247.0,76668.0,1978.0
11236,3191.0,2335.0,1176.0,674.0,974.0,1964.0,3854.0,2926.0,3710.0,2525.0,4121.0,2921.0,3205.0,3210.0,1538.0,1367.0,847.0,1334.0,1719.0,712.0,467.0,357.0,54675.0,43601.0,98276.0,2819.0
11237,1634.0,1249.0,721.0,412.0,602.0,2001.0,3319.0,3426.0,2000.0,1939.0,1581.0,1699.0,1413.0,1206.0,403.0,379.0,258.0,367.0,480.0,187.0,147.0,119.0,26116.0,28066.0,54182.0,2028.0
11238,961.0,461.0,218.0,164.0,288.0,1180.0,3767.0,3177.0,2728.0,1982.0,1367.0,1256.0,1078.0,1477.0,571.0,648.0,404.0,654.0,862.0,365.0,157.0,251.0,27829.0,25170.0,52999.0,1490.0
11239,231.0,288.0,29.0,102.0,47.0,230.0,349.0,276.0,506.0,280.0,480.0,96.0,129.0,225.0,182.0,173.0,68.0,214.0,550.0,254.0,390.0,129.0,7741.0,5183.0,12924.0,321.0
11351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11354,745.0,697.0,368.0,236.0,357.0,1192.0,2082.0,2013.0,1764.0,1627.0,2269.0,1353.0,2262.0,2211.0,1041.0,1221.0,684.0,855.0,953.0,715.0,380.0,526.0,30274.0,26634.0,56908.0,1222.0
11355,1867.0,1298.0,602.0,361.0,425.0,1663.0,3786.0,2516.0,2607.0,2647.0,3349.0,2184.0,3485.0,2658.0,1066.0,1568.0,664.0,1093.0,1637.0,929.0,892.0,606.0,43054.0,39736.0,82790.0,2113.0
11356,499.0,441.0,206.0,227.0,104.0,594.0,830.0,1024.0,777.0,800.0,823.0,553.0,779.0,833.0,289.0,449.0,253.0,146.0,442.0,261.0,168.0,54.0,12293.0,12338.0,24631.0,870.0
11357,1090.0,734.0,334.0,164.0,146.0,679.0,1105.0,909.0,1299.0,1087.0,1414.0,1157.0,1431.0,1277.0,549.0,636.0,500.0,806.0,1140.0,641.0,731.0,424.0,20861.0,18876.0,39737.0,1319.0
11358,1099.0,657.0,322.0,186.0,135.0,571.0,1362.0,1204.0,1207.0,1420.0,1320.0,723.0,1500.0,1423.0,653.0,689.0,504.0,555.0,763.0,518.0,418.0,282.0,19072.0,18414.0,37486.0,699.0
11359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11360,379.0,195.0,166.0,85.0,26.0,295.0,387.0,516.0,480.0,738.0,600.0,550.0,663.0,745.0,320.0,437.0,204.0,340.0,521.0,322.0,448.0,367.0,10513.0,9092.0,19605.0,556.0
11361,724.0,534.0,395.0,105.0,159.0,430.0,981.0,949.0,1023.0,1097.0,1097.0,848.0,1130.0,1105.0,372.0,570.0,369.0,348.0,599.0,295.0,223.0,267.0,15570.0,14637.0,30207.0,758.0
11362,241.0,288.0,193.0,67.0,6.0,162.0,889.0,525.0,483.0,538.0,460.0,438.0,592.0,615.0,385.0,317.0,212.0,291.0,439.0,84.0,250.0,329.0,9777.0,8362.0,18139.0,363.0
11363,449.0,129.0,157.0,101.0,50.0,189.0,209.0,170.0,272.0,337.0,329.0,160.0,378.0,357.0,53.0,149.0,100.0,85.0,223.0,131.0,27.0,42.0,3773.0,3889.0,7662.0,97.0
11364,1038.0,622.0,293.0,162.0,124.0,560.0,956.0,1183.0,1415.0,1242.0,1454.0,847.0,1406.0,1084.0,757.0,585.0,549.0,570.0,614.0,365.0,330.0,349.0,18463.0,16486.0,34949.0,856.0
11365,1238.0,634.0,375.0,249.0,299.0,836.0,1692.0,1438.0,1639.0,1617.0,1755.0,1408.0,1957.0,1520.0,517.0,826.0,336.0,569.0,823.0,365.0,635.0,492.0,23768.0,21273.0,45041.0,1805.0
11366,385.0,251.0,182.0,100.0,123.0,227.0,585.0,366.0,425.0,421.0,407.0,445.0,568.0,504.0,164.0,255.0,157.0,161.0,234.0,119.0,126.0,105.0,6944.0,6248.0,13192.0,422.0
11367,1056.0,653.0,697.0,440.0,613.0,721.0,1583.0,1450.0,1468.0,1369.0,1380.0,1419.0,1300.0,1129.0,718.0,642.0,403.0,666.0,815.0,518.0,272.0,217.0,22242.0,20425.0,42667.0,2046.0
11368,3678.0,1949.0,1037.0,573.0,1143.0,3474.0,5069.0,6106.0,4452.0,4798.0,3087.0,3768.0,3088.0,2387.0,1034.0,1003.0,420.0,1008.0,1090.0,710.0,428.0,423.0,52114.0,60595.0,112709.0,4435.0
11369,1222.0,715.0,418.0,323.0,576.0,946.0,1420.0,1896.0,1348.0,1434.0,1402.0,1118.0,1033.0,1294.0,479.0,471.0,282.0,490.0,574.0,380.0,149.0,195.0,19532.0,19469.0,39001.0,1051.0
11370,888.0,758.0,418.0,250.0,401.0,1623.0,1061.0,1843.0,892.0,2007.0,1068.0,619.0,1562.0,1131.0,368.0,494.0,279.0,294.0,340.0,384.0,295.0,179.0,14389.0,21118.0,35507.0,873.0
11371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11372,1084.0,687.0,682.0,270.0,428.0,1152.0,2784.0,3412.0,2079.0,2620.0,2262.0,1653.0,2262.0,2175.0,902.0,817.0,389.0,947.0,1517.0,700.0,241.0,267.0,32338.0,32416.0,64754.0,1820.0
11373,2336.0,1524.0,790.0,657.0,864.0,2227.0,3599.0,5243.0,3848.0,4297.0,3294.0,2428.0,3327.0,3020.0,1236.0,1240.0,754.0,1291.0,1563.0,782.0,566.0,297.0,48332.0,50222.0,98554.0,3104.0
11374,762.0,359.0,200.0,268.0,117.0,824.0,2056.0,1750.0,1864.0,1274.0,1307.0,825.0,1509.0,1809.0,689.0,947.0,499.0,691.0,1247.0,784.0,247.0,475.0,22698.0,20701.0,43399.0,1230.0
11375,1791.0,637.0,555.0,212.0,244.0,886.0,2218.0,2726.0,3313.0,2666.0,2647.0,1741.0,2347.0,2129.0,902.0,1004.0,561.0,1144.0,1446.0,782.0,883.0,784.0,37256.0,33467.0,70723.0,2420.0
11377,2611.0,1172.0,909.0,653.0,551.0,2073.0,4326.0,4426.0,3879.0,3718.0,2875.0,2404.0,3081.0,2533.0,915.0,1096.0,632.0,1077.0,1301.0,739.0,567.0,382.0,45178.0,45437.0,90615.0,2401.0
11378,687.0,634.0,319.0,255.0,99.0,587.0,1192.0,1182.0,1101.0,1321.0,1075.0,805.0,1291.0,1065.0,452.0,536.0,308.0,331.0,515.0,380.0,123.0,196.0,16506.0,15250.0,31756.0,856.0
11379,1142.0,390.0,367.0,183.0,215.0,381.0,1095.0,1064.0,1344.0,1444.0,1317.0,920.0,1157.0,1253.0,535.0,674.0,325.0,575.0,770.0,524.0,327.0,324.0,18719.0,16757.0,35476.0,862.0
11385,2591.0,2080.0,1149.0,503.0,706.0,2406.0,4253.0,4084.0,4268.0,3614.0,3455.0,3094.0,3461.0,3214.0,1209.0,1472.0,837.0,1151.0,1209.0,567.0,523.0,389.0,52057.0,50152.0,102209.0,3130.0
11411,456.0,325.0,246.0,91.0,90.0,358.0,528.0,496.0,618.0,669.0,680.0,528.0,536.0,696.0,365.0,258.0,240.0,524.0,596.0,369.0,156.0,82.0,10781.0,8427.0,19208.0,432.0
11412,1109.0,807.0,539.0,276.0,284.0,986.0,1295.0,1166.0,1083.0,1157.0,1762.0,1064.0,1429.0,1283.0,483.0,390.0,420.0,527.0,812.0,315.0,169.0,186.0,20982.0,16850.0,37832.0,1340.0
11413,1344.0,1246.0,550.0,230.0,298.0,706.0,1664.0,1485.0,1485.0,1067.0,1804.0,1132.0,1558.0,1057.0,614.0,545.0,252.0,691.0,915.0,534.0,333.0,207.0,23232.0,19328.0,42560.0,1271.0
11414,787.0,505.0,169.0,220.0,239.0,254.0,848.0,517.0,1045.0,1039.0,1097.0,809.0,991.0,962.0,348.0,599.0,262.0,423.0,636.0,505.0,256.0,432.0,15391.0,13309.0,28700.0,856.0
11415,422.0,291.0,143.0,161.0,57.0,232.0,863.0,1046.0,829.0,599.0,808.0,485.0,571.0,400.0,310.0,319.0,266.0,275.0,310.0,126.0,127.0,103.0,10461.0,8942.0,19403.0,746.0
11416,960.0,573.0,396.0,223.0,200.0,844.0,1071.0,1036.0,1031.0,738.0,1138.0,865.0,887.0,817.0,188.0,451.0,151.0,216.0,244.0,163.0,53.0,65.0,13558.0,13067.0,26625.0,982.0
11417,1092.0,561.0,326.0,316.0,171.0,734.0,1103.0,1032.0,1020.0,1280.0,1248.0,909.0,1359.0,1059.0,374.0,420.0,350.0,241.0,490.0,261.0,153.0,196.0,16502.0,15913.0,32415.0,1041.0
11418,1171.0,857.0,420.0,344.0,320.0,911.0,1833.0,1581.0,1304.0,1185.0,1468.0,1305.0,1316.0,1242.0,510.0,561.0,260.0,356.0,502.0,268.0,172.0,85.0,19998.0,19310.0,39308.0,1372.0
11419,1506.0,1254.0,686.0,426.0,490.0,1325.0,2125.0,1872.0,1363.0,1375.0,1942.0,1142.0,1735.0,1845.0,538.0,788.0,429.0,471.0,636.0,355.0,264.0,125.0,24667.0,24639.0,49306.0,1272.0
11420,1628.0,1094.0,509.0,453.0,465.0,1054.0,1936.0,1595.0,1513.0,1731.0,1908.0,1612.0,1978.0,1675.0,654.0,751.0,440.0,601.0,738.0,400.0,123.0,200.0,26686.0,24134.0,50820.0,1427.0
11421,1297.0,899.0,399.0,315.0,380.0,1225.0,1551.0,1400.0,1480.0,1366.0,1839.0,1323.0,1563.0,1360.0,570.0,681.0,315.0,378.0,737.0,444.0,204.0,109.0,21867.0,21157.0,43024.0,1517.0
11422,1053.0,748.0,376.0,273.0,188.0,595.0,1552.0,1126.0,1260.0,860.0,1480.0,932.0,1207.0,1090.0,343.0,405.0,240.0,449.0,437.0,208.0,97.0,115.0,18299.0,14946.0,33245.0,1182.0
11423,1042.0,495.0,448.0,254.0,213.0,739.0,1118.0,1035.0,881.0,1045.0,1131.0,778.0,1210.0,1149.0,425.0,624.0,312.0,552.0,822.0,262.0,158.0,161.0,16582.0,15400.0,31982.0,968.0
11424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11426,570.0,434.0,304.0,96.0,154.0,476.0,754.0,798.0,417.0,433.0,613.0,357.0,774.0,889.0,182.0,358.0,160.0,246.0,413.0,266.0,113.0,140.0,10035.0,9807.0,19842.0,863.0
11427,504.0,324.0,199.0,283.0,125.0,509.0,848.0,696.0,627.0,855.0,965.0,548.0,764.0,895.0,347.0,531.0,280.0,238.0,378.0,215.0,165.0,175.0,12423.0,11145.0,23568.0,807.0
11428,441.0,496.0,298.0,220.0,100.0,471.0,774.0,613.0,693.0,746.0,894.0,513.0,844.0,764.0,276.0,256.0,252.0,207.0,256.0,153.0,121.0,65.0,10231.0,9513.0,19744.0,430.0
11429,767.0,622.0,340.0,234.0,318.0,649.0,705.0,891.0,862.0,1038.0,1052.0,677.0,1133.0,823.0,468.0,387.0,110.0,345.0,595.0,312.0,143.0,61.0,13638.0,12724.0,26362.0,619.0
11430,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,16.0,4.0,0.0,31.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,161.0,186.0,0.0
11432,2038.0,986.0,1584.0,653.0,625.0,1485.0,2703.0,2396.0,2294.0,2075.0,2198.0,1560.0,1827.0,1882.0,546.0,924.0,577.0,974.0,1044.0,525.0,426.0,309.0,33349.0,30184.0,63533.0,2087.0
11433,1491.0,987.0,513.0,258.0,404.0,763.0,1047.0,1078.0,1227.0,952.0,1335.0,1515.0,907.0,1090.0,602.0,484.0,210.0,331.0,670.0,252.0,173.0,107.0,18257.0,15854.0,34111.0,870.0
11434,2209.0,1364.0,637.0,720.0,504.0,1770.0,2904.0,2110.0,2556.0,1835.0,2881.0,2180.0,1984.0,1713.0,749.0,776.0,416.0,1085.0,1171.0,612.0,382.0,446.0,37242.0,28650.0,65892.0,2329.0
11435,1481.0,1038.0,513.0,299.0,332.0,1080.0,3141.0,2579.0,2052.0,2191.0,2000.0,1543.0,1890.0,1692.0,657.0,749.0,414.0,672.0,574.0,467.0,366.0,198.0,27799.0,27524.0,55323.0,1679.0
11436,781.0,415.0,166.0,252.0,125.0,470.0,708.0,778.0,686.0,598.0,685.0,451.0,701.0,500.0,199.0,291.0,147.0,251.0,321.0,112.0,93.0,91.0,9908.0,9517.0,19425.0,644.0
11451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11509,71.0,47.0,7.0,18.0,0.0,30.0,38.0,31.0,31.0,57.0,48.0,30.0,114.0,98.0,66.0,96.0,28.0,20.0,98.0,42.0,12.0,44.0,1091.0,1083.0,2174.0,13.0
11559,320.0,247.0,179.0,10.0,68.0,103.0,327.0,109.0,295.0,351.0,118.0,279.0,245.0,240.0,124.0,114.0,87.0,198.0,204.0,150.0,84.0,132.0,4435.0,3968.0,8403.0,243.0
11580,1622.0,864.0,523.0,257.0,299.0,656.0,1670.0,1074.0,1503.0,1263.0,1424.0,1304.0,1403.0,1689.0,660.0,797.0,352.0,433.0,556.0,394.0,351.0,340.0,21979.0,20786.0,42765.0,996.0
11581,713.0,542.0,164.0,124.0,120.0,498.0,531.0,654.0,690.0,611.0,913.0,658.0,789.0,636.0,383.0,372.0,225.0,194.0,477.0,300.0,146.0,183.0,10907.0,10672.0,21579.0,747.0
11691,2170.0,1406.0,802.0,530.0,548.0,1166.0,2073.0,1931.0,2343.0,1202.0,2099.0,2458.0,1763.0,1766.0,954.0,893.0,492.0,614.0,1065.0,629.0,454.0,311.0,34463.0,29526.0,63989.0,3141.0
11692,925.0,486.0,186.0,74.0,188.0,310.0,657.0,436.0,603.0,535.0,781.0,587.0,625.0,530.0,385.0,242.0,101.0,194.0,280.0,237.0,132.0,79.0,9872.0,9083.0,18955.0,619.0
11693,311.0,195.0,103.0,120.0,90.0,152.0,362.0,281.0,312.0,488.0,544.0,328.0,437.0,281.0,129.0,147.0,169.0,123.0,204.0,149.0,26.0,35.0,5812.0,5382.0,11194.0,302.0
11694,867.0,489.0,119.0,119.0,76.0,241.0,624.0,655.0,444.0,777.0,804.0,716.0,948.0,763.0,333.0,467.0,348.0,303.0,466.0,383.0,249.0,233.0,10355.0,10418.0,20773.0,563.0
11697,181.0,118.0,17.0,10.0,0.0,54.0,50.0,51.0,114.0,100.0,53.0,205.0,136.0,88.0,72.0,119.0,18.0,116.0,58.0,78.0,91.0,34.0,1971.0,2035.0,4006.0,86.0
