ZIP Code	Type	Common Cities	County	Area Codes
11238	Standard	Brooklyn	Kings County	Area Code 347
11239	Standard	Brooklyn	Kings County	Area Code 212
11240	Standard	Brooklyn	Kings County	Area Code 212
11241	Standard	Brooklyn	Kings County	Area Code 347
11242	Standard	Brooklyn	Kings County	Area Code 929
11243	Standard	Brooklyn	Kings County	Area Code 646
11244	Unique	Brooklyn	Kings County	Area Code 212
11245	Unique	Brooklyn	Kings County	Area Code 212
11247	PO Box	Brooklyn	Kings County	Area Code 212
11248	Unique	Brooklyn	Kings County	Area Code 212
11249	Standard	Brooklyn	Kings County	Area Code 347
11251	Unique	Brooklyn	Kings County	Area Code 212
11252	Standard	Brooklyn, Fort Hamilton	Kings County	Area Code 212
11254	Unique	Brooklyn	Kings County	Area Code 212
11255	Unique	Brooklyn	Kings County	Area Code 212
11256	Standard	Brooklyn	Kings County	Area Code 718
11351	Standard	Flushing	Queens County	Area Code 347
11352	PO Box	Flushing	Queens County	Area Code 212
11354	Standard	Flushing	Queens County	Area Code 347
11355	Standard	Flushing	Queens County	Area Code 917
11356	Standard	College Point, Flushing	Queens County	Area Code 212
11357	Standard	Whitestone, Beechhurst, Flushing, Malba	Queens County	Area Code 347
11358	Standard	Flushing	Queens County	Area Code 212
11359	Standard	Bayside, Flushing, Fort Totten	Queens County	Area Code 347
11360	Standard	Bayside, Flushing	Queens County	Area Code 347
11361	Standard	Bayside, Flushing	Queens County	Area Code 347
11362	Standard	Little Neck, Douglaston, Flushing	Queens County	Area Code 212
11363	Standard	Little Neck, Douglaston, Flushing	Queens County	Area Code 347
11364	Standard	Oakland Gardens, Bayside, Bayside Hills, Flushing, Hollis...	Queens County	Area Code 718
11365	Standard	Fresh Meadows, Flushing	Queens County	Area Code 718
11366	Standard	Fresh Meadows, Flushing	Queens County	Area Code 718
11367	Standard	Flushing, Kew Garden Hl, Kew Gardens Hills	Queens County	Area Code 718
11368	Standard	Corona, Flushing	Queens County	Area Code 718
11369	Standard	East Elmhurst, Flushing	Queens County	Area Code 212
11370	Standard	East Elmhurst, Flushing	Queens County	Area Code 347
11371	Standard	Flushing, East Elmhurst, La Guardia Airport, La Gu...	Queens County	Area Code 212
11372	Standard	Jackson Heights, Flushing, Jackson Hts	Queens County	Area Code 347
11373	Standard	Elmhurst, Flushing	Queens County	Area Code 347
11374	Standard	Rego Park, Flushing	Queens County	Area Code 347
11375	Standard	Forest Hills, Flushing	Queens County	Area Code 347
11377	Standard	Woodside, Flushing	Queens County	Area Code 718
11378	Standard	Maspeth, Flushing	Queens County	Area Code 347
11379	Standard	Middle Village, Flushing, Middle Vlg	Queens County	Area Code 212
11380	PO Box	Elmhurst, Flushing	Queens County	Area Code 212
11381	Unique	Flushing	Queens County	Area Code 212
11385	Standard	Ridgewood, Flushing, Glendale	Queens County	Area Code 347
11386	PO Box	Ridgewood, Flushing	Queens County	Area Code 212
11390	Unique	Flushing	Queens County	Area Code 212
11405	Unique	Jamaica	Queens County	Area Code 212
11411	Standard	Cambria Heights, Cambria Hts, Jamaica	Queens County	Area Code 347
11412	Standard	Saint Albans, Jamaica	Queens County	Area Code 347
11413	Standard	Springfield Gardens, Jamaica, Laurelton, Rosedale, Saint Alba...	Queens County	Area Code 516
11414	Standard	Howard Beach, Jamaica	Queens County	Area Code 212
11415	Standard	Kew Gardens, Jamaica	Queens County	Area Code 347
11416	Standard	Ozone Park, Jamaica	Queens County	Area Code 718
11417	Standard	Ozone Park, Jamaica	Queens County	Area Code 212
11418	Standard	Richmond Hill, Jamaica	Queens County	Area Code 347
11419	Standard	South Richmond Hill, Jamaica, S Richmond Hl	Queens County	Area Code 718
11420	Standard	South Ozone Park, Jamaica, S Ozone Park	Queens County	Area Code 718
11421	Standard	Woodhaven, Jamaica	Queens County	Area Code 212
11422	Standard	Rosedale, Jamaica	Queens County	Area Code 516
11423	Standard	Hollis, Jamaica	Queens County	Area Code 718
11424	PO Box	Jamaica, Kew Gardens	Queens County	Area Code 212
11425	Unique	Jamaica	Kings County	Area Code 212
11426	Standard	Bellerose, Jamaica	Queens County	Area Code 718
11427	Standard	Queens Village, Bellerose Manor, Bellrs Manor, Jamaica, ...	Queens County	Area Code 212
11428	Standard	Queens Village, Bellerose Manor, Bellrs Manor, Jamaica, ...	Queens County	Area Code 718
11429	Standard	Queens Village, Jamaica, Queens Vlg	Queens County	Area Code 347
